Loss,Accuracy,Precision,Recalls,F1 score
0.21284449259440105,0.9413333333333334,0.9411279771498506,0.940619587009806,0.9407674694016585
0.13548584874471029,0.9583333333333334,0.9578850536272313,0.9580351808813081,0.9579167145203822
0.10932712046305339,0.9665,0.9663883345934599,0.9662059448648133,0.9662252786345527
0.0954312006632487,0.9708333333333333,0.9705547804266536,0.970811952345696,0.9706274521838554
0.0863468386332194,0.974,0.9735663930316957,0.9739530005563808,0.9737423909716527
0.07863852055867512,0.9755,0.9751321681826699,0.9755446699432536,0.9753167920255953
0.07476084963480631,0.9776666666666667,0.9773666477801,0.9775233921663993,0.9774026169896908
0.07095066579182943,0.979,0.9789264816237457,0.9789171034122219,0.9788685298715247
0.06664713668823243,0.979,0.9786691865514328,0.9791045530800092,0.9788573854971659
0.06382307688395182,0.9805,0.9802653384381333,0.9804813282283856,0.9803506441586889
0.06241847356160482,0.9815,0.9812332386722984,0.9815117063457102,0.9813569703865579
0.05890578587849935,0.9828333333333333,0.9826460636792037,0.9827610284598363,0.9826866888750121
0.060398231506347655,0.9818333333333333,0.9815119721289405,0.9818216052664166,0.9816379437177318
0.05842955271402995,0.9823333333333333,0.9819910980112312,0.9823276403843494,0.982139728182632
0.05646769332885742,0.983,0.9828453191984805,0.9828025440773066,0.9828159478587091
0.05642605781555176,0.9816666666666667,0.981547784768581,0.9816459886294074,0.9815829159250111
0.053961779276529946,0.9831666666666666,0.9827998700686127,0.9830435917761932,0.9829142233279013
0.05291544596354167,0.984,0.9838413899660001,0.9839108235842311,0.9838630846082925
0.053838163375854495,0.9826666666666667,0.9823545669209933,0.9827008243516264,0.9825162647424257
0.05384245300292969,0.9835,0.9831439442553505,0.9835119682910272,0.9833068501303119
